market_constraint,dayzer_constraint,pano_constraint,dayzer_score,dayzer_confidence,dayzer_status,dayzer_id,pano_score,pano_confidence,pano_status,pano_id,pano_latest,pano_stale,overall_score,overall_confidence,market_id
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV : L500.CONASTONE-PEACHBOTTOM.5012,NOTTINGH_230 KV_2-3:L500.Conastone-PeachBottom.5012,NOTTINGH230 KV  2-3 : (NUKE) L500.PeachBottom-Conastone.5012,100.0,high,matched,532145,100.0,high,matched,9224,2017-06-15,True,100.0,high,10002384305_10002493264
LENOX 115 KV LENOX-NMESHOPP NML 1090 : L230.ETOWANDA-HILLSIDE.2002 [NYISO],LENOX_115 KV_LEN-NME:L230.ETowanda-Hillside.2002 [NYISO] + SPS.ESayre,NMESHOPP 115KV - LENOX 115KV (LENOX 115 KV LEN-NME) : L230.ETowanda-Hillside.2002 [NYISO],83.75,medium,matched,529457,90.08,high,matched,783,2025-12-27,True,83.75,medium,10000566138_10001865201
EASTON  69 KV   EAS-EMU : ACTUAL,EASTON_69 KV_EAS-EMU:ACTUAL,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU) : BASE,100.0,high,matched,520100,100.0,high,matched,1920,2025-03-27,True,100.0,high,10004072634_10000680485
SAYRECON230 KV SAY-SAY : ACTUAL,SAYRECON_230 KV_SAY-SAY:ACTUAL,SAYREVIL 230KV - SAYRECON 230KV (SAYRECON 230 KV SAY-SAY) : BASE,100.0,high,matched,512652,100.0,high,matched,2035,2025-02-21,True,100.0,high,10001822928_10000680485
MOUN UGI 230 KV MOUN UGI 2 XFORMER : 230/66.MOUNTAIN.T1 (SCTNLZ),MOUN UGI_230 KV_2:230/66.Mountain.T1 (Sctnlz),MOUN UGI 69KV - MOUN UGI 230KV (MOUN UGI 230 KV 2) : 230/66.Mountain.T1 (Sctnlz),100.0,high,matched,535123,100.0,high,matched,1060,2025-10-23,True,100.0,high,10000465752_10016012236
GRACETON 230 KV GRACETON-SAFEHARB 2303 : L500.CONASTONE-PEACHBOTTOM.5012,GRACETON_230 KV_230-1:L500.Brighton-Conastone,GRACETON-SAFEHARB 2303      A  230 KV : (NUKE) L500.PeachBottom-Conastone.5012,87.42,medium,matched,521189,100.0,high,matched,10597,2016-07-29,True,87.42,medium,10000565711_10002493264
94 HAURD-11323 11323 B 138 KV : L345.NELSON-ELECTRICJCT.15502,94 HAURD_138 KV_11323:L345.Nelson-Electric Junction.15502,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323) : L345.Nelson-Lee 15501 + Nelson-ElectricJct 15502,96.72,high,matched,510445,100.0,high,matched,4071,2022-11-30,True,96.72,high,10002848522_10017401059
BERGEN 230 KV BER-HUD : ACTUAL,BERGEN_230 KV_BER-HUD:ACTUAL,BERGEN 230KV - HCS 230KV (BERGEN 230 KV BER-HUD) : BASE,100.0,high,matched,519402,100.0,high,matched,257,2026-04-12,False,100.0,high,10002485877_10000680485
LINE 69 KV MONR AE-VINELAND 0711-1 : L230.CUMBERLAND-ORCHARD.2314,MONR AE_69 KV_MON-VINE:L230.Cumberland-Orchard (FUTURE),MONR AE-VINELAND 0711-1     A  69 KV : L230.Churchtown-Orchard-Cumberland,80.0,medium,matched,532931,96.57,high,matched,13228,2014-11-17,True,80.0,medium,10002510696_10004197374
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX : L115.MIDDLETOWNJCT-COLLINS.975 (SCTNLZ),GARDNERS_115 KV_GAR-TEX:L115.MiddletownJct-Collins.975 (Sctnlz),GARDNERS-TEXSEAST GAR-TEX   A  115 KV : L115.MiddletownJct-Collins (Sctnlz),100.0,high,matched,500269,100.0,high,matched,16145,2013-03-22,True,100.0,high,10000565918_10002509034
RAMAPO  138 KV  RAM-SMA : 345/138.SOUTHMAHWAH.BK258,RAMAPO_138 KV_RAM-SMA:345/138.SouthMahwah.BK258,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA) : 345/138.SouthMahwah.BK258,100.0,high,matched,550983,100.0,high,matched,2462,2024-09-07,True,100.0,high,10015848492_10016636204
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV : L500.HOPATCONG-LACKAWANNA.5063,ETOWANDA_230 KV_ETO-HIL:L500.Hopatcong-Lackawanna.5063,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) : L500.Hopatcong-Lackawanna.5063,86.32,medium,matched,533974,90.71,high,matched,381,2026-03-23,False,86.32,medium,10017125044_10004212818
94 HAURD-11323 11323 B 138 KV : L345.NELSON-ELECTRICJUNCTION.15502,94 HAURD_138 KV_11323:L345.Nelson-Electric Junction.15502,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323) : (NUKE) L345.Nelson-ElectricJunction.15502,99.49,high,matched,510445,100.0,high,matched,9791,2017-01-10,True,99.49,high,10002848522_10002903265
BERWICK 69 KV BERWICK-KOONSVIL : ACTUAL,KOONSVIL_69 KV_XFMR2:ACTUAL,BERWICK-KOONSVIL            A  69 KV : BASE,88.53,medium,matched,520156,100.0,high,matched,5314,2021-02-23,True,88.53,medium,10000565443_10000680485
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV : PRAIRIE STATE-W MT. VERNON 345,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,NCoultervil 138/230 kV l/o Prairie State - W Mt. Vernon 345 kV : Prairie State-W Mt. Vernon 345,81.13,medium,matched,551131,91.78,high,matched,5120,2021-05-27,True,81.13,medium,10016741614_10011896689
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV : L765.DUMONT-WILTONCENTER.11215,CENTER_115 KV_CEN-WES2:L115.Orchards-Westport.110586,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV : L765.Dumont-WiltonCenter.11215,51.98,review,review,533055,87.3,medium,matched,7172,2018-12-04,True,51.98,review,10016741627_10004059893
ELIMA   138 KV  ELI-HAV1 : L765.MARYSVILLE-SORENSON,ELIMA_138 KV_ELI-HAV1:L765.Marysville-Sorenson,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) : L765.Marysville-Sorenson,100.0,high,matched,535034,100.0,high,matched,117,2026-04-21,False,100.0,high,10016017601_10002868109
DOEX530 345 KV  203T : ACTUAL,DOEX530_345 KV_203T:ACTUAL,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T) : BASE,100.0,high,matched,520655,100.0,high,matched,503,2026-03-02,False,100.0,high,10016013601_10000680485
DOEX530 345 KV  208T : ACTUAL,DOEX530_345 KV_208T:ACTUAL,DOEX530 345 KV  208T : BASE,100.0,high,matched,520656,100.0,high,matched,1197,2025-10-01,True,100.0,high,10016013598_10000680485
